uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,collectDate,eventID,boutNumber,sampleID,sampleCode,sampleCondition,geneticSampleID,geneticSampleCode,geneticSampleCond,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,habitatType,samplerType,sampleNumber,substratumSizeClass,benthicArea,ponarDepth,snagLength,snagDiameter,dnaSnagLength,dnaSnagDiameter,remarks,recordedBy,collectedBy,dataQF
"057496d3-044a-4436-8e8f-0969d6d40662","D09","PRLA","PRLA.AOS.riparian.point.07",47.158533,-99.114713,0.1,"WGS84",564.6,0.1,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.BENTHICSWEEP.7","A00000016126",,"PRLA.20180709.BENTHICSWEEP.7.DNA","A00000016166",,"NEON.DOC.003046vC",,,"littoral","benthicSweep",7,,0.305,,,,,,"Swept through moderate Sago pondweed","llocke@battelleecology.org","jeldridge@neoninc.org",
"5d96bb79-f431-4602-87d9-72570add9b8a","D09","PRLA","PRLA.AOS.littoral1",47.159093,-99.114228,1.1,"WGS84",562.4,1.0,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.PONAR.1","A00000016142",,,,,"NEON.DOC.003046vC",,,"pelagic","petitePonar",1,,0.023,0.9,,,,,"Sand and silt","llocke@battelleecology.org","jeldridge@neoninc.org",
"c9016ed5-83ff-4d40-b613-a28647730cf0","D09","PRLA","PRLA.AOS.riparian.point.05",47.161979,-99.113416,0.1,"WGS84",564.3,0.1,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.BENTHICSWEEP.5","A00000016152",,"PRLA.20180709.BENTHICSWEEP.5.DNA","A00000016127",,"NEON.DOC.003046vC",,,"littoral","benthicSweep",5,,0.305,,,,,,"Swept through dense Sago pondweed and milfoil","llocke@battelleecology.org","jeldridge@neoninc.org",
"323d0cbd-d5e4-4b87-931e-b3de38503c04","D09","PRLA","PRLA.AOS.littoral2",47.160850,-99.120215,1.1,"WGS84",562.3,1.0,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.PONAR.2","A00000016125",,,,,"NEON.DOC.003046vC",,,"pelagic","petitePonar",2,,0.023,1.0,,,,,"Sand; pebbles; silt; organic material","llocke@battelleecology.org","jeldridge@neoninc.org",
"ef1ecdb2-143a-44d6-aea6-2d4f20f74c8f","D09","PRLA","PRLA.AOS.buoy.c0",47.159718,-99.118723,10.0,"WGS84",561.0,10.0,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.PONAR.3","A00000016109",,,,,"NEON.DOC.003046vC",,,"pelagic","petitePonar",3,,0.023,2.7,,,,,"Silty with organic debris; strong smell","llocke@battelleecology.org","jeldridge@neoninc.org",
"110c028d-dfa0-41a6-ac2c-5fb7aa9b7005","D09","PRLA","PRLA.AOS.riparian.point.01",47.160410,-99.120862,0.1,"WGS84",564.2,0.1,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.BENTHICSWEEP.1","A00000016151",,,,,"NEON.DOC.003046vC",,,"littoral","benthicSweep",1,,0.305,,,,,,"Swept through moderate Sago pondweed","llocke@battelleecology.org","jeldridge@neoninc.org",
"907d57ee-0cfd-46e4-8886-8cee3669b8f7","D09","PRLA","PRLA.AOS.riparian.point.03",47.161713,-99.115755,0.1,"WGS84",564.4,0.1,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.BENTHICSWEEP.3","A00000016150",,"PRLA.20180709.BENTHICSWEEP.3.DNA","A00000016164",,"NEON.DOC.003046vC",,,"littoral","benthicSweep",3,,0.305,,,,,,"Swept through dense Sago pondweed and milfoil","llocke@battelleecology.org","jeldridge@neoninc.org",
"94913a3c-8661-4b86-b54d-a82d93490d4b","D09","PRLA","PRLA.AOS.riparian.point.09",47.158039,-99.119199,0.1,"WGS84",564.7,0.1,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.BENTHICSWEEP.9","A00000016168",,,,,"NEON.DOC.003046vC",,,"littoral","benthicSweep",9,,0.305,,,,,,"Swept through moderate Sago pondweed","llocke@battelleecology.org","jeldridge@neoninc.org",
"f2336d37-9893-4811-a6f0-2abccc0a16f5","D09","PRLA","PRLA.AOS.reach",47.159476,-99.118832,1000.0,"WGS84",565.0,1000.0,"lake","2018-07-09T17:00Z","PRLA.20180709",2,"PRLA.20180709.BRYOZOAN.P8",,,,,,"NEON.DOC.003046vC",,,"littoral","grab",8,"large woody debris",,,,,,,"collected during aquatic plant sampling","jeldridge@battelleecology.org","sparker@battelleecology.org",
"24cb3f44-b831-4392-a521-b79323415861","D09","PRLA","PRLA.AOS.riparian.point.02",47.161496,-99.118068,0.1,"WGS84",564.5,0.1,"lake","2018-07-18T17:00Z","PRLA.20180709",2,"PRLA.20180718.BRYOZOAN.R2",,,,,,"NEON.DOC.003046vC",,,"littoral","grab",2,"large woody debris",,,,,,,"collected as a separate grab sample for identification","jeldridge@battelleecology.org","sparker@battelleecology.org",
