uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,identificationReferences,fishTotalLength,fishWeight,samplerType,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,voucherSampleCode,dnaSampleID,dnaSampleCode,identifiedBy,remarks,dataQF,barrierSubReach
"9e9fd07c-0f2d-4640-a8d4-89401ae9611a","D02","POSE","POSE.AOS.fish.point.02","2016-05-04T16:00Z","2016-05-04T16:00Z","2016-05-05T16:40Z","POSE.2016.spring",1,46,"RHIATR","Rhinichthys atratulus","species",,,,,56,2.0,"electrofisher",,"N","N",,"no sample",,,,,"jcoloso@battelleecology.org",,"legacyData",
"5736efb7-ad61-456c-8337-bc7a0edb3e83","D02","POSE","POSE.AOS.fish.point.02","2016-05-04T16:00Z","2016-05-04T16:00Z","2016-05-05T16:40Z","POSE.2016.spring",1,40,"RHIATR","Rhinichthys atratulus","species",,,,,31,0.7,"electrofisher",,"N","N",,"no sample",,,,,"jcoloso@battelleecology.org","Humpback","legacyData",
"362b751b-8d2b-4b32-968d-5f5654c6b529","D02","POSE","POSE.AOS.fish.point.02","2016-05-04T16:00Z","2016-05-04T16:00Z","2016-05-05T16:40Z","POSE.2016.spring",1,2,"COTBAI1","Cottus bairdii","species",,,,,67,5.2,"electrofisher",,"N","N",,"no sample",,,,,"jcoloso@battelleecology.org","Photo number 0898","legacyData",
"44d152e7-f1c6-4e6b-9c84-bf2cab6e7468","D02","POSE","POSE.AOS.fish.point.02","2016-05-04T16:00Z","2016-05-04T16:00Z","2016-05-05T16:40Z","POSE.2016.spring",1,38,"COTBAI1","Cottus bairdii","species",,,,,37,0.8,"electrofisher",,"N","N",,"no sample",,,,,"jcoloso@battelleecology.org",,"legacyData",
"a04fa8c3-dc17-4eb2-9e5c-c30e03f686dd","D02","POSE","POSE.AOS.fish.point.02","2016-05-04T16:00Z","2016-05-04T16:00Z","2016-05-05T16:40Z","POSE.2016.spring",1,19,"RHIATR","Rhinichthys atratulus","species",,,,,44,0.7,"electrofisher",,"N","N",,"no sample",,,,,"jcoloso@battelleecology.org",,"legacyData",
"fae8ec89-16e4-4613-9574-45bd123ccd0c","D02","POSE","POSE.AOS.fish.point.02","2016-05-04T16:00Z","2016-05-04T16:00Z","2016-05-05T16:40Z","POSE.2016.spring",1,45,"RHIATR","Rhinichthys atratulus","species",,,,,28,0.7,"electrofisher",,"N","N",,"no sample",,,,,"jcoloso@battelleecology.org",,"legacyData",
"b6951d3f-d7ca-491f-95b1-c0eb5ccfa7b1","D02","POSE","POSE.AOS.fish.point.02","2016-05-04T16:00Z","2016-05-04T16:00Z","2016-05-05T16:40Z","POSE.2016.spring",1,9,"SEMATR","Semotilus atromaculatus","species",,,,,77,4.9,"electrofisher",,"N","N",,"no sample",,,,,"jcoloso@battelleecology.org",,"legacyData",
"6c04daef-a0b3-4851-988a-f7e73e6af2d5","D02","POSE","POSE.AOS.fish.point.02","2016-05-04T16:00Z","2016-05-04T16:00Z","2016-05-05T16:40Z","POSE.2016.spring",1,20,"RHIATR","Rhinichthys atratulus","species",,,,,64,2.7,"electrofisher",,"Y","Y",,"voucher sample only","POSE.20160504.RHICAT.02.1.0020",,,,"jcoloso@battelleecology.org","Orange pectoral fins","legacyData",
"581e29a7-8871-4e7f-86b6-0bfe73e1575d","D02","POSE","POSE.AOS.fish.point.02","2016-05-04T16:00Z","2016-05-04T16:00Z","2016-05-05T16:40Z","POSE.2016.spring",1,1,"SEMATR","Semotilus atromaculatus","species",,,,,69,3.7,"electrofisher",,"Y","Y",,"voucher sample only","POSE.20160504.SEMATR.02.1.0001",,,,"jcoloso@battelleecology.org",,"legacyData",
"f7ec1cce-6e0a-4ac9-bee1-5efcef84c47e","D02","POSE","POSE.AOS.fish.point.02","2016-05-04T16:00Z","2016-05-04T16:00Z","2016-05-05T16:40Z","POSE.2016.spring",1,28,"RHIATR","Rhinichthys atratulus","species",,,,,40,1.1,"electrofisher",,"N","N",,"no sample",,,,,"jcoloso@battelleecology.org",,"legacyData",
"64728115-5b7d-4ccb-afa9-16da7b2ed742","D02","POSE","POSE.AOS.fish.point.02","2016-05-04T16:00Z","2016-05-04T16:00Z","2016-05-05T16:40Z","POSE.2016.spring",1,52,"RHIATR","Rhinichthys atratulus","species",,,,,42,0.7,"electrofisher",,"N","N",,"no sample",,,,,"jcoloso@battelleecology.org",,"legacyData",
"f2ce5dcd-38d0-4cb8-a8e7-53ff09cf175c","D02","POSE","POSE.AOS.fish.point.02","2016-05-04T16:00Z","2016-05-04T16:00Z","2016-05-05T16:40Z","POSE.2016.spring",1,16,"COTBAI1","Cottus bairdii","species",,,,,41,0.6,"electrofisher",,"N","N",,"no sample",,,,,"jcoloso@battelleecology.org",,"legacyData",
