uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,collectDate,eventID,boutNumber,sampleID,sampleCode,sampleCondition,geneticSampleID,geneticSampleCode,geneticSampleCond,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,habitatType,samplerType,sampleNumber,substratumSizeClass,benthicArea,ponarDepth,snagLength,snagDiameter,dnaSnagLength,dnaSnagDiameter,remarks,recordedBy,collectedBy,dataQF
"f490b192-0040-4738-abb7-a17d5351bec5","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,"GUIL.20150520.SURBER.5",,,,,,"NEON.DOC.000690vD",,,"riffle","surber",5,"cobble",0.093,,,,,,,"mviggiano@neoninc.org","mviggiano@neoninc.org",
"bb1823f2-2ad9-4dee-82b3-87af1eeecca1","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,"GUIL.20150520.SURBER.2",,,,,,"NEON.DOC.000690vD",,,"riffle","surber",2,"pebble",0.093,,,,,,,"mviggiano@neoninc.org","mviggiano@neoninc.org",
"cae01fda-bc2a-4813-a894-69fa237f3b85","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,,,,,,,"NEON.DOC.000690vD","other",,"pool",,2,,,,,,,,"pools not sampled during first bout",,"sparker@battelleecology.org","legacyData"
"d6092e03-bab1-4dc1-be4a-80bf38aad494","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,,,,,,,"NEON.DOC.000690vD","other",,"pool",,4,,,,,,,,"pools not sampled during first bout",,"sparker@battelleecology.org","legacyData"
"0b97c688-907c-4363-953a-8fbcfdeab5d0","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,,,,,,,"NEON.DOC.000690vD","other",,"pool",,3,,,,,,,,"pools not sampled during first bout",,"sparker@battelleecology.org","legacyData"
"77623587-524d-4fcd-aead-556e63e008e0","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,"GUIL.20150520.SURBER.1",,,,,,"NEON.DOC.000690vD",,,"riffle","surber",1,"boulder",0.093,,,,,,,"mviggiano@neoninc.org","mviggiano@neoninc.org",
"240b370a-2ae0-4270-b98f-8bac4101d538","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,,,,,,,"NEON.DOC.000690vD","other",,"pool",,5,,,,,,,,"pools not sampled during first bout",,"sparker@battelleecology.org","legacyData"
"dc1ff293-68f0-4782-976f-b5d2acfefe8d","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,"GUIL.20150520.SURBER.3",,,,,,"NEON.DOC.000690vD",,,"riffle","surber",3,"cobble",0.093,,,,,,,"mviggiano@neoninc.org","mviggiano@neoninc.org",
"530a6703-7deb-45e6-94f1-3fa538fa9b72","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,"GUIL.20150520.SURBER.4",,,,,,"NEON.DOC.000690vD",,,"riffle","surber",4,"cobble",0.093,,,,,,,"mviggiano@neoninc.org","mviggiano@neoninc.org",
"ef78015b-46bf-4a45-bcc4-94e1e81fcbad","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,,,,,,,"NEON.DOC.000690vD","other",,"pool",,1,,,,,,,,"pools not sampled during first bout",,"sparker@battelleecology.org","legacyData"
